name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Streptococcus sp. HSISM1	1316408	S	1634	429	2063	0.01183
Streptococcus sp. LPB0220	2610896	S	1553	438	1991	0.01141
Streptococcus sp. oral taxon 431	712633	S	1443	136	1579	0.00905
Streptococcus sp. oral taxon 061	712623	S	950	174	1124	0.00644
Streptococcus sp. Marseille-Q6470	2972784	S	699	123	822	0.00471
Streptococcus sp. Marseille-Q3533	2759692	S	534	59	593	0.00340
Streptococcus sp. A12	1759399	S	200	35	235	0.00135
Streptococcus sp. 116-D4	2598453	S	156	21	177	0.00101
Streptococcus sp. FDAARGOS_192	1839799	S	112	124	236	0.00135
Streptococcus sp. HSISS2	1316411	S	62	69	131	0.00075
Streptococcus sp. HSISS3	1316412	S	52	55	107	0.00061
Streptococcus sp. NPS 308	1902136	S	45	10	55	0.00032
Streptococcus sp. 1643	2576376	S	42	27	69	0.00040
Streptococcus sp. oral taxon 064	712624	S	16	23	39	0.00022
Streptococcus sp. HSISS1	1316410	S	16	282	298	0.00171
Streptococcus sp. NSJ-72	2763068	S	15	36	51	0.00029
Streptococcus salivarius	1304	S	8274	3151	11425	0.06550
Streptococcus parasanguinis	1318	S	6626	1004	7630	0.04374
Streptococcus infantis	68892	S	1816	194	2010	0.01152
Streptococcus mitis	28037	S	1191	344	1535	0.00880
Streptococcus oralis	1303	S	957	203	1160	0.00665
Streptococcus pneumoniae	1313	S	815	706	1521	0.00872
Streptococcus lactarius	684066	S	492	43	535	0.00307
Streptococcus sanguinis	1305	S	305	12	317	0.00182
Streptococcus australis	113107	S	272	152	424	0.00243
Streptococcus pseudopneumoniae	257758	S	257	90	347	0.00199
Streptococcus thermophilus	1308	S	227	140	367	0.00210
Streptococcus gordonii	1302	S	141	7	148	0.00085
Streptococcus ilei	1156431	S	135	76	211	0.00121
Streptococcus anginosus	1328	S	49	62	111	0.00064
Streptococcus intermedius	1338	S	40	16	56	0.00032
Streptococcus constellatus	76860	S	32	932	964	0.00553
Streptococcus toyakuensis	2819619	S	113	53	166	0.00095
Streptococcus cristatus	45634	S	98	7	105	0.00060
Streptococcus gwangjuense	1433513	S	91	30	121	0.00069
Streptococcus rubneri	1234680	S	78	37	115	0.00066
Streptococcus vestibularis	1343	S	77	12	89	0.00051
Streptococcus suis	1307	S	76	78	154	0.00088
Streptococcus koreensis	2382163	S	57	40	97	0.00056
Streptococcus pyogenes	1314	S	40	146	186	0.00107
Streptococcus equi	1336	S	24	0	24	0.00014
Streptococcus dysgalactiae	1334	S	11	1	12	0.00007
Streptococcus parauberis	1348	S	34	3	37	0.00021
Streptococcus milleri	33040	S	18	24	42	0.00024
Streptococcus parasuis	1501662	S	17	9	26	0.00015
Streptococcus oriscaviae	2781599	S	14	0	14	0.00008
Streptococcus agalactiae	1311	S	13	948	961	0.00551
Streptococcus iniae	1346	S	13	2	15	0.00009
Streptococcus canis	1329	S	13	1	14	0.00008
Streptococcus pseudoporcinus	361101	S	12	1	13	0.00007
Streptococcus pluranimalium	82348	S	12	0	12	0.00007
Streptococcus mutans	1309	S	12	1	13	0.00007
Streptococcus merionis	400065	S	11	0	11	0.00006
Streptococcus ferus	1345	S	10	0	10	0.00006
Streptococcus periodonticum	2490633	S	10	8	18	0.00010
Streptococcus porcinus	1340	S	10	0	10	0.00006
Granulicatella adiacens	46124	S	1632	62	1694	0.00971
Granulicatella elegans	137732	S	50	13	63	0.00036
Enterococcus cecorum	44008	S	10	8	18	0.00010
Abiotrophia defectiva	46125	S	20	2	22	0.00013
Gemella sanguinis	84135	S	295	35	330	0.00189
Gemella haemolysans	1379	S	151	14	165	0.00095
Gemella morbillorum	29391	S	75	14	89	0.00051
Bacillus altitudinis	293387	S	10	14	24	0.00014
Priestia megaterium	1404	S	11	18	29	0.00017
Veillonella atypica	39777	S	13887	717	14604	0.08373
Veillonella rogosae	423477	S	949	138	1087	0.00623
Veillonella nakazawae	2682456	S	725	568	1293	0.00741
Veillonella sp. S12025-13	2682455	S	676	430	1106	0.00634
Veillonella parvula	29466	S	590	33	623	0.00357
Veillonella dispar	39778	S	461	166	627	0.00359
Veillonella rodentium	248315	S	86	2	88	0.00050
Megasphaera stantonii	2144175	S	12	6	18	0.00010
Selenomonas sp. oral taxon 478	712538	S	2106	980	3086	0.01769
Selenomonas sp. oral taxon 136	713030	S	1408	597	2005	0.01149
Selenomonas sp. oral taxon 126	712528	S	207	10	217	0.00124
Selenomonas sp. oral taxon 920	1884263	S	152	6	158	0.00091
Selenomonas sputigena	69823	S	2328	13	2341	0.01342
Selenomonas timonae	2754044	S	86	7	93	0.00053
Lachnoanaerobaculum umeaense	617123	S	663	16	679	0.00389
Blautia wexlerae	418240	S	131	84	215	0.00123
Blautia obeum	40520	S	24	13	37	0.00021
Blautia sp. SC05B48	2479767	S	11	26	37	0.00021
[Ruminococcus] torques	33039	S	39	19	58	0.00033
[Ruminococcus] gnavus	33038	S	32	11	43	0.00025
[Ruminococcus] lactaris	46228	S	12	1	13	0.00007
Anaerostipes hadrus	649756	S	51	10	61	0.00035
Anaerobutyricum hallii	39488	S	47	9	56	0.00032
Roseburia intestinalis	166486	S	21	11	32	0.00018
Roseburia hominis	301301	S	14	4	18	0.00010
Coprococcus comes	410072	S	19	8	27	0.00015
Coprococcus catus	116085	S	15	5	20	0.00011
Dorea longicatena	88431	S	32	12	44	0.00025
[Clostridium] scindens	29347	S	12	1	13	0.00007
Lachnoclostridium sp. YL32	1834196	S	10	11	21	0.00012
Lachnospira eligens	39485	S	10	0	10	0.00006
Faecalibacterium prausnitzii	853	S	24	56	80	0.00046
Ruminococcus bicirculans	1160721	S	13	0	13	0.00007
Ruthenibacterium lactatiformans	1550024	S	10	3	13	0.00007
Clostridium botulinum	1491	S	13	31	44	0.00025
Clostridium estertheticum	238834	S	10	2	12	0.00007
Hungatella hathewayi	154046	S	13	1	14	0.00008
Oceanirhabdus sp. W0125-5	2999116	S	10	0	10	0.00006
Mogibacterium diversum	114527	S	106	6	112	0.00064
Filifactor alocis	143361	S	66	11	77	0.00044
Parvimonas micra	33033	S	117	23	140	0.00080
Bulleidia sp. zg-1006	2806552	S	60	2	62	0.00036
Faecalibacillus intestinalis	1982626	S	18	4	22	0.00013
Schaalia odontolytica	1660	S	3663	379	4042	0.02317
Schaalia meyeri	52773	S	136	7	143	0.00082
Schaalia sp. JY-X169	2758572	S	10	0	10	0.00006
Schaalia cardiffensis	181487	S	15	0	15	0.00009
Schaalia turicensis	131111	S	10	2	12	0.00007
Actinomyces pacaensis	1852377	S	429	19	448	0.00257
Actinomyces sp. oral taxon 414	712122	S	10	5	15	0.00009
Actinomyces slackii	52774	S	10	4	14	0.00008
Pauljensenia hongkongensis	178339	S	42	10	52	0.00030
Trueperella pyogenes	1661	S	10	2	12	0.00007
Rothia mucilaginosa	43675	S	2706	179	2885	0.01654
Rothia dentocariosa	2047	S	78	12	90	0.00052
Rothia aeria	172042	S	53	5	58	0.00033
Kocuria palustris	71999	S	12	3	15	0.00009
Kocuria rhizophila	72000	S	10	5	15	0.00009
Clavibacter michiganensis	28447	S	20	54	74	0.00042
Corynebacterium kroppenstedtii	161879	S	26	11	37	0.00021
Corynebacterium matruchotii	43768	S	16	2	18	0.00010
Corynebacterium efficiens	152794	S	10	18	28	0.00016
Nocardia asteroides	1824	S	17	24	41	0.00024
Lawsonella clevelandensis	1528099	S	27	12	39	0.00022
Streptomyces venezuelae	54571	S	15	171	186	0.00107
Nocardioides sp. TF02-7	2917724	S	11	5	16	0.00009
Nocardioides sp. cx-173	2898796	S	10	5	15	0.00009
Nocardioides sp. S5	2017486	S	10	11	21	0.00012
Nocardioides sp. zg-1228	2763008	S	10	7	17	0.00010
Nocardioides sp. HDW12B	2714939	S	10	3	13	0.00007
Nocardioides cynanchi	2558918	S	16	4	20	0.00011
Nocardioides piscis	2714938	S	11	12	23	0.00013
Nocardioides aquaticus	160826	S	10	4	14	0.00008
Pimelobacter simplex	2045	S	10	3	13	0.00007
Cutibacterium acnes	1747	S	205	24	229	0.00131
Actinoplanes derwentensis	113562	S	11	7	18	0.00010
Dactylosporangium aurantiacum	35754	S	10	8	18	0.00010
Phytohabitans suffuscus	624315	S	10	5	15	0.00009
Bifidobacterium longum	216816	S	17	19	36	0.00021
Bifidobacterium adolescentis	1680	S	11	11	22	0.00013
Lancefieldella parvula	1382	S	2067	25	2092	0.01199
Olsenella uli	133926	S	15	0	15	0.00009
Collinsella aerofaciens	74426	S	32	8	40	0.00023
Aquihabitans sp. G128	2849779	S	31	5	36	0.00021
Aquihabitans sp. Kera 3	2884263	S	13	1	14	0.00008
Iamia sp. SCSIO 61187	2722752	S	23	4	27	0.00015
Iamia majanohamensis	467976	S	12	2	14	0.00008
Actinomarinicola tropica	2789776	S	10	1	11	0.00006
Ilumatobacter coccineus	467094	S	11	0	11	0.00006
Baekduia sp. 0141_2	2997333	S	16	3	19	0.00011
Microcoleus vaginatus	119532	S	26	30	56	0.00032
Prochlorococcus marinus	1219	S	10	1	11	0.00006
Prevotella jejuni	1177574	S	24975	3535	28510	0.16345
Prevotella melaninogenica	28132	S	8495	859	9354	0.05363
Prevotella veroralis	28137	S	5112	401	5513	0.03161
Prevotella histicola	470565	S	4464	228	4692	0.02690
Prevotella oris	28135	S	1192	56	1248	0.00715
Prevotella intermedia	28131	S	1036	152	1188	0.00681
Prevotella nigrescens	28133	S	725	152	877	0.00503
Prevotella scopos	589437	S	480	78	558	0.00320
Prevotella sp. oral taxon 299	652716	S	209	8	217	0.00124
Prevotella sp. oral taxon 475	712471	S	105	2	107	0.00061
Prevotella sp. E13-17	2913616	S	16	5	21	0.00012
Prevotella sp. Rep29	2691580	S	14	1	15	0.00009
Prevotella sp. E9-3	2913621	S	14	4	18	0.00010
Prevotella sp. E15-22	2937774	S	14	10	24	0.00014
Prevotella denticola	28129	S	277	32	309	0.00177
Prevotella fusca	589436	S	118	8	126	0.00072
Prevotella copri	165179	S	101	3	104	0.00060
