 63.69	8921	8921	U	0	unclassified
 36.31	5086	8	R	1	root
 35.99	5041	72	R1	131567	  cellular organisms
 31.18	4368	212	D	2	    Bacteria
 14.05	1968	30	D1	1783272	      Terrabacteria group
 10.34	1448	6	P	201174	        Actinomycetota
 10.21	1430	58	C	1760	          Actinomycetes
  6.95	973	8	O	85007	            Mycobacteriales
  6.60	924	0	F	1653	              Corynebacteriaceae
  6.60	924	642	G	1716	                Corynebacterium
  0.61	85	85	S	43990	                  Corynebacterium segmentosum
  0.50	70	70	S	38284	                  Corynebacterium accolens
  0.26	37	37	S	38290	                  Corynebacterium macginleyi
  0.16	23	23	S	43770	                  Corynebacterium striatum
  0.11	15	15	S	39791	                  Corynebacterium glucuronolyticum
  0.08	11	11	S	38304	                  Corynebacterium tuberculostearicum
  0.06	9	9	S	169292	                  Corynebacterium aurimucosum
  0.06	8	8	S	1979527	                  Corynebacterium kefirresidentii
  0.02	3	3	S	38301	                  Corynebacterium minutissimum
  0.01	2	2	S	1697	                  Corynebacterium ammoniagenes
  0.01	2	2	S	191610	                  Corynebacterium atypicum
  0.01	2	2	S	28028	                  Corynebacterium flavescens
  0.01	1	1	S	1718	                  Corynebacterium glutamicum
  0.01	1	0	S	575200	                  Corynebacterium maris
  0.01	1	1	S1	1224163	                    Corynebacterium maris DSM 45190
  0.01	1	1	S	401472	                  Corynebacterium ureicelerivorans
  0.01	1	0	S	225326	                  Corynebacterium halotolerans
  0.01	1	1	S1	1121362	                    Corynebacterium halotolerans YIM 70093 = DSM 44683
  0.01	1	1	S	1232427	                  Corynebacterium ihumii
  0.01	1	0	S	160386	                  Corynebacterium casei
  0.01	1	1	S1	1285583	                    Corynebacterium casei LMG S-19264
  0.01	1	1	S	156978	                  Corynebacterium imitans
  0.01	1	1	S	1652495	                  Corynebacterium crudilactis
  0.01	1	1	S	146827	                  Corynebacterium simulans
  0.01	1	1	S	1737425	                  Corynebacterium provencense
  0.01	1	1	S	1719	                  Corynebacterium pseudotuberculosis
  0.01	1	1	S	43768	                  Corynebacterium matruchotii
  0.01	1	1	S	2754725	                  Corynebacterium incognita
  0.01	1	1	S	2675219	                  Corynebacterium occultum
  0.01	1	0	G1	2624378	                  unclassified Corynebacterium
  0.01	1	1	S	3017361	                    Corynebacterium sp. SCR221107
  0.23	32	3	F	1762	              Mycobacteriaceae
  0.09	12	3	G	1763	                Mycobacterium
  0.01	2	2	S	2943498	                  Candidatus Mycobacterium methanotrophicum
  0.01	2	0	G1	2642494	                  unclassified Mycobacterium
  0.01	2	2	S	2675524	                    Mycobacterium sp. DL592
  0.01	1	1	S	398694	                  Mycobacterium shinjukuense
  0.01	1	1	S	486698	                  Mycobacterium riyadhense
  0.01	1	0	G1	2249310	                  Mycobacterium simiae complex
  0.01	1	1	S	220927	                    Mycobacterium saskatchewanense
  0.01	1	1	S	577492	                  Mycobacterium paraterrae
  0.01	1	0	G1	120793	                  Mycobacterium avium complex (MAC)
  0.01	1	0	S	1767	                    Mycobacterium intracellulare
  0.01	1	1	S1	222805	                      Mycobacterium intracellulare subsp. chimaera
  0.09	12	0	G	1866885	                Mycolicibacterium
  0.01	2	2	S	146017	                  Mycolicibacterium boenickei
  0.01	1	1	S	1772	                  Mycolicibacterium smegmatis
  0.01	1	1	S	1791	                  Mycolicibacterium aurum
  0.01	1	1	S	1792	                  Mycolicibacterium chitae
  0.01	1	1	S	2736649	                  Mycolicibacterium mengxianglii
  0.01	1	1	G1	2636767	                  unclassified Mycolicibacterium
  0.01	1	1	S	1795	                  Mycolicibacterium neoaurum
