name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Prevotella melaninogenica	28132	S	237936	222460	460396	0.30589
Prevotella histicola	470565	S	21784	9927	31711	0.02107
Prevotella jejuni	1177574	S	17174	22176	39350	0.02614
Prevotella sp. oral taxon 299	652716	S	8402	2764	11166	0.00742
Prevotella sp. E15-22	2937774	S	2024	1054	3078	0.00205
Prevotella sp. oral taxon 475	712471	S	1883	262	2145	0.00143
Prevotella sp. Rep29	2691580	S	398	47	445	0.00030
Prevotella sp. E13-17	2913616	S	367	90	457	0.00030
Prevotella sp. E9-3	2913621	S	172	46	218	0.00014
Prevotella sp. E2-28	2913620	S	32	12	44	0.00003
Prevotella veroralis	28137	S	14082	10528	24610	0.01635
Prevotella oris	28135	S	7876	2991	10867	0.00722
Prevotella herbatica	2801997	S	4980	124	5104	0.00339
Prevotella intermedia	28131	S	3029	4637	7666	0.00509
Prevotella nigrescens	28133	S	1663	2632	4295	0.00285
Prevotella denticola	28129	S	1300	19185	20485	0.01361
Prevotella scopos	589437	S	1245	1837	3082	0.00205
Prevotella fusca	589436	S	852	582	1434	0.00095
Prevotella ruminicola	839	S	766	26	792	0.00053
Prevotella copri	165179	S	735	71	806	0.00054
Prevotella dentalis	52227	S	723	296	1019	0.00068
Prevotella corporis	28128	S	564	261	825	0.00055
Prevotella bryantii	77095	S	537	29	566	0.00038
Prevotella multiformis	282402	S	436	640	1076	0.00071
Pseudoprevotella muciniphila	2133944	S	7126	223	7349	0.00488
Paraprevotella xylaniphila	454155	S	2008	558	2566	0.00170
Hoylesella enoeca	76123	S	578	718	1296	0.00086
Hoylesella buccalis	28127	S	537	454	991	0.00066
Porphyromonas sp. oral taxon 275	712435	S	69951	3960	73911	0.04911
Porphyromonas endodontalis	28124	S	7056	1985	9041	0.00601
Porphyromonas gingivalis	837	S	3033	1705	4738	0.00315
Porphyromonas cangingivalis	36874	S	990	725	1715	0.00114
Porphyromonas asaccharolytica	28123	S	145	54	199	0.00013
Porphyromonas crevioricanis	393921	S	65	21	86	0.00006
Porphyromonas somerae	322095	S	44	18	62	0.00004
Bacteroides stercoris	46506	S	988	434	1422	0.00094
Bacteroides heparinolyticus	28113	S	728	313	1041	0.00069
Bacteroides caccae	47678	S	291	123	414	0.00028
Bacteroides zoogleoformans	28119	S	262	113	375	0.00025
Bacteroides salyersiae	291644	S	253	71	324	0.00022
Bacteroides faecium	2715212	S	136	14	150	0.00010
Bacteroides fragilis	817	S	51	85	136	0.00009
Bacteroides xylanisolvens	371601	S	33	115	148	0.00010
Bacteroides uniformis	820	S	24	68	92	0.00006
Bacteroides thetaiotaomicron	818	S	23	314	337	0.00022
Bacteroides zhangwenhongii	2650157	S	22	17	39	0.00003
Bacteroides eggerthii	28111	S	18	15	33	0.00002
Bacteroides faecis	674529	S	16	15	31	0.00002
Bacteroides ovatus	28116	S	15	2503	2518	0.00167
Bacteroides intestinalis	329854	S	13	3	16	0.00001
Phocaeicola dorei	357276	S	1038	1238	2276	0.00151
Phocaeicola salanitronis	376805	S	677	110	787	0.00052
Phocaeicola coprophilus	387090	S	365	260	625	0.00042
Phocaeicola vulgatus	821	S	18	25	43	0.00003
Tannerella serpentiformis	712710	S	1276	149	1425	0.00095
Tannerella forsythia	28112	S	640	46	686	0.00046
Parabacteroides distasonis	823	S	120	105	225	0.00015
Parabacteroides goldsteinii	328812	S	33	6	39	0.00003
Parabacteroides johnsonii	387661	S	17	3	20	0.00001
Parabacteroides faecis	1217282	S	17	1	18	0.00001
Coprobacter secundus	1501392	S	1108	286	1394	0.00093
Barnesiella viscericola	397865	S	33	5	38	0.00003
Odoribacter splanchnicus	28118	S	607	183	790	0.00052
Duncaniella dubosii	2518971	S	21	171	192	0.00013
Muribaculum gordoncarteri	2530390	S	22	11	33	0.00002
Muribaculum intestinale	1796646	S	13	3	16	0.00001
