  5.16	82358	82358	U	0	unclassified
 94.84	1514240	222	R	1	root
 94.82	1513965	496	R1	131567	  cellular organisms
 94.63	1510884	25163	D	2	    Bacteria
 48.15	768712	42	D1	1783270	      FCB group
 48.14	768653	28	D2	68336	        Bacteroidetes/Chlorobi group
 48.14	768593	3068	P	976	          Bacteroidota
 46.61	744109	2626	C	200643	            Bacteroidia
 46.44	741421	10889	O	171549	              Bacteroidales
 39.47	630130	18705	F	171552	                Prevotellaceae
 37.65	601175	271015	G	838	                  Prevotella
 14.90	237936	237934	S	28132	                    Prevotella melaninogenica
  0.00	2	2	S1	553174	                      Prevotella melaninogenica ATCC 25845
  1.36	21784	21784	S	470565	                    Prevotella histicola
  1.08	17174	17174	S	1177574	                    Prevotella jejuni
  0.91	14478	1186	G1	2638335	                    unclassified Prevotella
  0.53	8402	0	S	652716	                      Prevotella sp. oral taxon 299
  0.53	8402	8402	S1	575614	                        Prevotella sp. oral taxon 299 str. F0039
  0.13	2024	2024	S	2937774	                      Prevotella sp. E15-22
  0.12	1883	1883	S	712471	                      Prevotella sp. oral taxon 475
  0.02	398	398	S	2691580	                      Prevotella sp. Rep29
  0.02	367	367	S	2913616	                      Prevotella sp. E13-17
  0.01	172	172	S	2913621	                      Prevotella sp. E9-3
  0.00	32	32	S	2913620	                      Prevotella sp. E2-28
  0.00	6	6	S	652722	                      Prevotella sp. oral taxon 313
  0.00	5	5	S	2913619	                      Prevotella sp. E2-25
  0.00	2	2	S	2913617	                      Prevotella sp. E13-3
  0.00	1	1	S	2913614	                      Prevotella sp. E1-9
  0.88	14082	14082	S	28137	                    Prevotella veroralis
  0.49	7876	7876	S	28135	                    Prevotella oris
  0.31	4980	4980	S	2801997	                    Prevotella herbatica
  0.19	3029	2989	S	28131	                    Prevotella intermedia
  0.00	38	38	S1	1122984	                      Prevotella intermedia ATCC 25611 = DSM 20706
  0.00	2	2	S1	246198	                      Prevotella intermedia 17
  0.10	1663	1604	S	28133	                    Prevotella nigrescens
  0.00	59	59	S1	702439	                      Prevotella nigrescens F0103
  0.08	1300	1287	S	28129	                    Prevotella denticola
  0.00	13	13	S1	767031	                      Prevotella denticola F0289
  0.08	1245	0	S	589437	                    Prevotella scopos
  0.08	1245	1245	S1	1236518	                      Prevotella scopos JCM 17725
  0.05	852	0	S	589436	                    Prevotella fusca
  0.05	852	852	S1	1236517	                      Prevotella fusca JCM 17724
  0.05	766	755	S	839	                    Prevotella ruminicola
  0.00	11	11	S1	264731	                      Prevotella ruminicola 23
  0.05	735	605	S	165179	                    Prevotella copri
  0.01	130	130	S1	537011	                      Prevotella copri DSM 18205
  0.05	723	0	S	52227	                    Prevotella dentalis
  0.05	723	723	S1	908937	                      Prevotella dentalis DSM 3688
  0.04	564	564	S	28128	                    Prevotella corporis
  0.03	537	528	S	77095	                    Prevotella bryantii
  0.00	9	9	S1	752555	                      Prevotella bryantii B14
  0.03	436	436	S	282402	                    Prevotella multiformis
  0.45	7126	0	G	2884814	                  Pseudoprevotella
  0.45	7126	7126	S	2133944	                    Pseudoprevotella muciniphila
  0.13	2008	0	G	577309	                  Paraprevotella
  0.13	2008	0	S	454155	                    Paraprevotella xylaniphila
  0.13	2008	2008	S1	762982	                      Paraprevotella xylaniphila YIT 11841
  0.07	1116	1	G	2974257	                  Hoylesella
  0.04	578	578	S	76123	                    Hoylesella enoeca
  0.03	537	536	S	28127	                    Hoylesella buccalis
  0.00	1	1	S1	679190	                      Prevotella buccalis ATCC 35310
  5.38	85932	0	F	171551	                Porphyromonadaceae
  5.38	85932	4648	G	836	                  Porphyromonas
  4.38	69951	0	G1	2645799	                    unclassified Porphyromonas
  4.38	69951	69951	S	712435	                      Porphyromonas sp. oral taxon 275
  0.44	7056	7056	S	28124	                    Porphyromonas endodontalis
  0.19	3033	3032	S	837	                    Porphyromonas gingivalis
  0.00	1	1	S1	431947	                      Porphyromonas gingivalis ATCC 33277
  0.06	990	990	S	36874	                    Porphyromonas cangingivalis
  0.01	145	0	S	28123	                    Porphyromonas asaccharolytica
  0.01	145	145	S1	879243	                      Porphyromonas asaccharolytica DSM 20707
  0.00	65	65	S	393921	                    Porphyromonas crevioricanis
  0.00	44	44	S	322095	                    Porphyromonas somerae
  0.60	9515	1264	F	815	                Bacteroidaceae
  0.37	5864	2960	G	816	                  Bacteroides
  0.06	988	987	S	46506	                    Bacteroides stercoris
  0.00	1	1	S1	449673	                      Bacteroides stercoris ATCC 43183
  0.05	728	728	S	28113	                    Bacteroides heparinolyticus
  0.02	291	291	S	47678	                    Bacteroides caccae
  0.02	262	262	S	28119	                    Bacteroides zoogleoformans
  0.02	253	253	S	291644	                    Bacteroides salyersiae
  0.01	136	136	S	2715212	                    Bacteroides faecium
  0.00	51	51	S	817	                    Bacteroides fragilis
  0.00	33	33	S	371601	                    Bacteroides xylanisolvens
  0.00	24	24	S	820	                    Bacteroides uniformis
  0.00	23	22	S	818	                    Bacteroides thetaiotaomicron
  0.00	1	1	S1	226186	                      Bacteroides thetaiotaomicron VPI-5482
  0.00	22	22	S	2650157	                    Bacteroides zhangwenhongii
  0.00	18	18	S	28111	                    Bacteroides eggerthii
  0.00	16	16	S	674529	                    Bacteroides faecis
  0.00	15	11	S	28116	                    Bacteroides ovatus
  0.00	4	4	S1	1379690	                      Bacteroides ovatus V975
  0.00	13	13	S	329854	                    Bacteroides intestinalis
  0.00	8	0	S	151276	                    Bacteroides coprosuis
  0.00	8	8	S1	679937	                      Bacteroides coprosuis DSM 18011
  0.00	7	7	S	246787	                    Bacteroides cellulosilyticus
  0.00	6	0	S	290053	                    Bacteroides helcogenes
  0.00	6	6	S1	693979	                      Bacteroides helcogenes P 36-108
  0.00	4	4	S	291645	                    Bacteroides nordii
  0.00	3	3	S	1796613	                    Bacteroides caecimuris
  0.00	3	0	G1	2646097	                    unclassified Bacteroides
  0.00	2	2	S	556259	                      Bacteroides sp. D2
  0.00	1	1	S	2763022	                      Bacteroides sp. M10
  0.15	2387	289	G	909656	                  Phocaeicola
  0.07	1038	1038	S	357276	                    Phocaeicola dorei
  0.04	677	0	S	376805	                    Phocaeicola salanitronis
  0.04	677	677	S1	667015	                      Phocaeicola salanitronis DSM 18170
  0.02	365	365	S	387090	                    Phocaeicola coprophilus
  0.00	18	18	S	821	                    Phocaeicola vulgatus
  0.14	2276	17	F	2005525	                Tannerellaceae
  0.13	2034	118	G	195950	                  Tannerella
  0.08	1276	1276	S	712710	                    Tannerella serpentiformis
  0.04	640	591	S	28112	                    Tannerella forsythia
  0.00	27	27	S1	1307833	                      Tannerella forsythia KS16
  0.00	18	18	S1	203275	                      Tannerella forsythia 92A2
  0.00	4	4	S1	1307832	                      Tannerella forsythia 3313
  0.01	225	31	G	375288	                  Parabacteroides
  0.01	120	120	S	823	                    Parabacteroides distasonis
  0.00	33	33	S	328812	                    Parabacteroides goldsteinii
  0.00	17	17	S	387661	                    Parabacteroides johnsonii
  0.00	17	17	S	1217282	                    Parabacteroides faecis
  0.00	7	7	S	46503	                    Parabacteroides merdae
  0.07	1141	0	F	2005519	                Barnesiellaceae
  0.07	1108	0	G	1348911	                  Coprobacter
  0.07	1108	0	S	1501392	                    Coprobacter secundus
  0.07	1108	1108	S1	2751153	                      Coprobacter secundus subsp. similis
  0.00	33	0	G	397864	                  Barnesiella
  0.00	33	0	S	397865	                    Barnesiella viscericola
  0.00	33	33	S1	880074	                      Barnesiella viscericola DSM 18177
  0.04	650	0	F	1853231	                Odoribacteraceae
  0.04	607	0	G	283168	                  Odoribacter
  0.04	607	605	S	28118	                    Odoribacter splanchnicus
  0.00	2	2	S1	709991	                      Odoribacter splanchnicus DSM 20712
  0.00	43	40	G	574697	                  Butyricimonas
  0.00	3	3	S	544645	                    Butyricimonas virosa
  0.02	276	10	F	2005473	                Muribaculaceae
  0.01	203	169	G	2518495	                  Duncaniella
  0.00	21	21	S	2518971	                    Duncaniella dubosii
