NC_018464.1 Shamonda virus N and NSs genes, segment S, genomic RNA, isolate Ib An 5550
NC_022095.1 Human papillomavirus type 179 complete genome, isolate SIBX16
NC_026163.1 Sewage-associated gemycircularvirus-7a isolate BS3939, complete sequence
NC_026164.1 Sewage derived gemycircularvirus 1 isolate BS3917, complete sequence
NC_026165.1 Sewage-associated gemycircularvirus-9 isolate BS3970, complete sequence
NC_026254.1 Sewage-associated gemycircularvirus-1 isolate SaGmV-1_NZ-BS3970-2012, complete genome
NC_007605.1 Human gammaherpesvirus 4, complete genome
NC_009334.1 Human herpesvirus 4, complete genome
AC_000007.1 Human adenovirus 2, complete genome
NC_003287.2 Enterobacteria phage M13, complete genome
AC_000008.1 Human adenovirus 5, complete genome
NC_001405.1 Human adenovirus C, complete genome
NC_010392.1 Phage Gifsy-1, complete genome
NC_008168.1 Choristoneura fumiferana granulovirus, complete genome
NC_001350.1 Saimiriine herpesvirus 2 complete genome
NC_000898.1 Human herpesvirus 6B, complete genome
NC_001716.2 Human herpesvirus 7, complete genome
NC_009127.1 Cyprinid herpesvirus 3, complete genome
AC_000017.1 Human adenovirus type 1, complete genome
AC_000006.1 Human adenovirus D, complete genome
NC_006146.1 Macacine herpesvirus 4, complete genome
NC_007612.1 Bovine papillomavirus 7, complete genome
NC_003225.3 White spot syndrome virus strain CN01, complete genome
NC_038494.1 Sewage-associated gemycircularvirus-7b isolate BS3972, complete sequence
NC_001664.4 Human betaherpesvirus 6A, variant A DNA, complete virion genome, isolate U1102
NC_004584.1 Streptococcus prophage 315.1, complete genome
NC_004588.1 Streptococcus prophage 315.5, complete genome
NC_045512.2 Severe acute respiratory syndrome coronavirus 2 isolate Wuhan-Hu-1, complete genome
NC_049947.1 Escherichia virus Lambda_1H12 genome assembly, chromosome: 1
NC_025217.1 Bat Hp-betacoronavirus/Zhejiang2013, complete genome
NC_006577.2 Human coronavirus HKU1, complete genome
NC_034440.1 Bat coronavirus isolate PREDICT/PDF-2180, complete genome
NC_004718.3 SARS coronavirus Tor2, complete genome
NC_042307.1 Escherichia phage H8, complete genome, *** SEQUENCING IN PROGRESS ***
NC_051591.1 Mycobacterium phage Taquito, complete genome
NC_047797.2 Pectobacterium phage PP81, complete genome
NC_047801.2 Pectobacterium phage PP47, complete genome
NC_051605.1 Mycobacterium phage Amgine, complete genome
NC_051606.1 Mycobacterium phage Amohnition, complete genome
NC_051607.1 Mycobacterium phage DarthP, complete genome
NC_042013.1 Agrobacterium phage Atu_ph07, complete genome
NC_051608.1 Mycobacterium phage Ekdilam, complete genome
NC_049496.1 Salmonella phage Se-G, complete genome
NC_049497.1 Salmonella phage Se-J, complete genome
NC_021248.1 Choristoneura biennis entomopoxvirus 'L', complete genome
NC_000852.5 Paramecium bursaria Chlorella virus 1, complete genome
NC_005859.1 Enterobacteria phage T5, complete genome
NC_002687.1 Ectocarpus siliculosus virus 1, complete genome
NC_032111.1 BeAn 58058 virus, complete genome
NC_010956.1 Human adenovirus D, complete genome
NC_004687.1 Mycobacterium phage Bxz1, complete genome
NC_004333.2 Burkholderia phage Bcep781, complete genome
NC_008208.1 Aeromonas phage 25, complete genome
NC_022563.1 Squirrel poxvirus strain Red squirrel UK complete genome
NC_021312.1 Phaeocystis globosa virus strain 16T, complete genome
NC_007809.1 Pseudomonas phage M6, complete genome
NC_008207.1 Mycobacterium phage Catera, complete genome
NC_008202.2 Mycobacterium phage Halo, complete genome
NC_043129.1 Micromonas pusilla virus SP1, complete genome, *** SEQUENCING IN PROGRESS ***, 2 unordered pieces
NC_009015.1 Burkholderia ambifaria phage BcepF1, complete genome
NC_028094.1 Chrysochromulina ericina virus isolate CeV-01B, complete genome
NC_010116.1 Pseudomonas phage YuA, complete genome
NC_012696.1 Roseophage EE36P1, complete genome
NC_010583.1 Enterobacteria phage EPS7, complete genome
NC_011271.1 Mycobacterium phage Cali, complete genome
NC_011272.1 Mycobacterium phage Rizal, complete genome
NC_011269.2 Mycobacterium phage ScottMcG, complete genome
NC_011270.1 Mycobacterium phage Spud, complete genome
NC_021073.1 Vibrio phage henriette 12B8, complete genome
NC_012663.1 Lactococcus phage P087, complete genome
NC_012959.1 Human adenovirus 54, complete genome
NC_020862.2 Sulfitobacter phage phiCB2047-B genomic sequence
NC_020840.1 Tetraselmis viridis virus S20 genomic sequence
NC_014663.1 Acinetobacter phage Acj9, complete genome
NC_014635.1 Aeromonas phage phiAS4, complete genome
NC_014636.1 Aeromonas phage phiAS5, complete genome
NC_019926.1 Erwinia amylovora phage phiEa100 complete genome
NC_023688.1 Aeromonas phage PX29, complete genome
NC_019452.1 Escherichia phage PhaxI, complete genome
NC_015269.1 Enterobacteria phage SPC35, complete genome
NC_028999.1 Pseudomonas phage PhiPA3, complete genome
NC_028986.1 Mycobacterium phage Alice, complete sequence
NC_042035.1 Mycobacterium phage Zemanar, complete sequence
